Loan_ID,Customer_ID,Branch_ID,Loan_Type,Loan_Start_Date,Loan_Amount,Interest_Rate,Tenure_Months,Outstanding_Amount,Loan_Status
LOAN00001,CUST04996,BR048,Education Loan,2025-10-22,1189958.31,8.84,36,1065024.46,Defaulted
LOAN00002,CUST01561,BR010,Education Loan,2020-03-07,1213940.07,13.16,12,1079272.66,Defaulted
LOAN00003,CUST05537,BR003,Personal Loan,2021-02-01,479441.83,12.08,60,135037.32,Active
LOAN00004,CUST06071,BR056,Auto Loan,2025-08-10,1638863.47,11.27,240,1448157.21,Closed
LOAN00005,CUST03360,BR002,Auto Loan,2021-03-16,804992.84,9.97,36,518970.23,Pending
LOAN00006,CUST01526,BR034,Business Loan,2025-01-25,791003.87,14.84,24,278312.73,Active
LOAN00007,CUST06441,BR029,Business Loan,2021-12-07,1989675.68,12.24,240,936886.16,Closed
LOAN00008,CUST06478,BR025,Business Loan,2021-10-04,3486518.93,7.24,240,553230.11,Pending
LOAN00009,CUST03840,BR041,Auto Loan,2020-12-13,1520691.36,7.48,240,228129.16,Active
LOAN00010,CUST06022,BR012,Education Loan,2021-05-19,387119.11,14.71,12,131729.8,Defaulted
LOAN00011,CUST02361,BR017,Home Loan,2021-12-22,7685468.24,13.28,120,4560699.71,Pending
LOAN00012,CUST03997,BR007,Personal Loan,2021-03-25,321031.4,14.24,48,128336.31,Pending
LOAN00013,CUST00054,BR057,Education Loan,2022-09-15,1444643.93,14.04,84,1250681.84,Active
LOAN00014,CUST07722,BR015,Business Loan,2022-01-28,1483664.09,9.04,180,748379.16,Closed
LOAN00015,CUST00381,BR004,Business Loan,2023-02-01,3116710.3,11.39,180,1698756.67,Defaulted
LOAN00016,CUST02799,BR010,Business Loan,2025-04-03,4019013.75,7.95,12,1184714.74,Pending
LOAN00017,CUST03145,BR050,Education Loan,2024-11-01,999277.04,11.82,180,816438.35,Active
LOAN00018,CUST07545,BR037,Auto Loan,2025-05-23,1762293.84,14.47,180,387154.41,Active
LOAN00019,CUST04375,BR060,Education Loan,2024-07-20,739553.43,10.04,12,322707.86,Pending
LOAN00020,CUST06554,BR059,Personal Loan,2020-06-22,151857.86,12.38,60,87854.17,Defaulted
LOAN00021,CUST05826,BR029,Education Loan,2022-11-07,1461807.15,15.31,12,99561.92,Defaulted
LOAN00022,CUST05539,BR035,Home Loan,2022-08-04,3552335.01,8.45,180,302344.37,Closed
LOAN00023,CUST07578,BR016,Personal Loan,2024-10-15,157956.08,13.3,24,109088.56,Active
LOAN00024,CUST00797,BR028,Auto Loan,2020-06-11,1586832.56,12.24,12,1394132.9,Pending
LOAN00025,CUST03764,BR041,Home Loan,2021-09-03,2285778.28,7.63,240,496271.85,Defaulted
LOAN00026,CUST01343,BR030,Home Loan,2020-03-17,7576161.84,11.71,12,3405861.41,Pending
LOAN00027,CUST05667,BR057,Personal Loan,2020-04-23,133790.22,7.46,180,99335.16,Pending
LOAN00028,CUST03110,BR024,Education Loan,2021-03-05,1055643.02,7.77,240,311153.85,Pending
LOAN00029,CUST03578,BR048,Auto Loan,2021-04-03,971040.6,10.4,36,186675.17,Pending
LOAN00030,CUST03123,BR039,Home Loan,2025-07-27,5720128.7,9.84,120,3786561.55,Pending
LOAN00031,CUST03551,BR016,Home Loan,2024-04-04,7438867.13,10.55,36,3620727.77,Closed
LOAN00032,CUST03516,BR045,Home Loan,2022-05-02,5411103.0,9.37,48,2238399.77,Pending
LOAN00033,CUST00179,BR025,Auto Loan,2020-02-12,1137800.18,10.81,180,1130495.0,Defaulted
LOAN00034,CUST06225,BR049,Auto Loan,2021-01-28,1796752.64,13.87,180,383462.63,Defaulted
LOAN00035,CUST04411,BR002,Business Loan,2020-05-01,4693422.29,14.58,24,2842536.22,Pending
LOAN00036,CUST07036,BR007,Home Loan,2025-09-30,4798571.18,13.84,240,4334250.15,Closed
LOAN00037,CUST00188,BR012,Business Loan,2023-07-18,2736305.63,10.48,36,1863661.71,Closed
LOAN00038,CUST02303,BR055,Personal Loan,2020-04-06,507674.96,7.58,84,51154.98,Active
LOAN00039,CUST06604,BR058,Personal Loan,2025-06-06,302482.38,9.2,60,185101.43,Defaulted
LOAN00040,CUST06986,BR037,Education Loan,2023-12-30,999602.71,8.74,36,967872.85,Active
LOAN00041,CUST03331,BR045,Education Loan,2021-09-30,810264.08,14.8,48,159732.72,Active
LOAN00042,CUST03513,BR052,Business Loan,2021-03-11,2172923.66,9.82,12,1231216.81,Defaulted
LOAN00043,CUST06247,BR028,Education Loan,2022-04-07,554842.2,11.01,48,34241.62,Closed
LOAN00044,CUST07332,BR058,Personal Loan,2020-02-25,776995.06,15.43,240,742320.11,Active
LOAN00045,CUST06418,BR012,Personal Loan,2021-02-26,133352.06,13.05,84,40679.04,Defaulted
LOAN00046,CUST06571,BR057,Home Loan,2020-09-08,3192376.4,11.51,180,695453.78,Defaulted
LOAN00047,CUST02450,BR042,Personal Loan,2022-06-26,251464.9,8.82,60,86740.04,Closed
LOAN00048,CUST06419,BR042,Auto Loan,2024-01-17,695447.78,8.86,48,191594.73,Active
LOAN00049,CUST04594,BR017,Auto Loan,2021-03-12,256335.93,9.65,120,136778.56,Closed
LOAN00050,CUST03474,BR047,Personal Loan,2021-04-24,162345.28,11.75,120,122691.01,Closed
LOAN00051,CUST02177,BR048,Business Loan,2020-07-24,4927858.82,10.85,12,4691123.51,Defaulted
LOAN00052,CUST07840,BR023,Education Loan,2021-09-05,177578.47,8.66,12,164472.76,Active
LOAN00053,CUST04417,BR056,Auto Loan,2024-12-09,1118394.61,11.37,120,844285.19,Defaulted
LOAN00054,CUST01165,BR021,Business Loan,2025-02-22,4504673.58,10.56,120,457359.86,Defaulted
LOAN00055,CUST01430,BR046,Education Loan,2021-09-29,185627.58,9.4,84,79455.92,Closed
LOAN00056,CUST05743,BR023,Education Loan,2021-03-27,525257.41,14.36,240,463553.13,Defaulted
LOAN00057,CUST01678,BR032,Auto Loan,2024-12-02,464527.65,12.04,120,199035.63,Active
LOAN00058,CUST00449,BR042,Business Loan,2024-07-13,4741589.92,8.97,36,3446406.1,Defaulted
LOAN00059,CUST01071,BR037,Personal Loan,2020-01-23,163229.25,11.29,48,157370.18,Closed
LOAN00060,CUST04797,BR034,Home Loan,2024-08-16,7361541.06,8.15,36,2669696.42,Closed
LOAN00061,CUST05326,BR017,Education Loan,2025-10-31,267908.12,9.43,24,48088.77,Defaulted
LOAN00062,CUST04896,BR024,Home Loan,2025-06-23,4198706.97,12.1,36,2807520.41,Closed
LOAN00063,CUST06274,BR011,Personal Loan,2023-01-31,274705.19,8.73,24,156024.07,Defaulted
LOAN00064,CUST00404,BR017,Home Loan,2024-08-27,5170512.95,10.03,36,588929.03,Defaulted
LOAN00065,CUST00844,BR041,Auto Loan,2022-11-23,895141.0,8.65,84,440004.05,Pending
LOAN00066,CUST01970,BR044,Home Loan,2024-01-31,6949078.14,7.07,180,441411.72,Defaulted
LOAN00067,CUST06727,BR048,Home Loan,2023-04-01,6765778.95,15.22,84,561027.04,Pending
LOAN00068,CUST07069,BR044,Home Loan,2025-06-18,2659813.63,9.34,60,758603.1,Closed
LOAN00069,CUST01840,BR057,Home Loan,2020-09-28,3408499.29,9.26,60,1868444.71,Active
LOAN00070,CUST04486,BR012,Personal Loan,2022-05-01,378502.0,9.8,48,56062.26,Active
LOAN00071,CUST04445,BR055,Education Loan,2023-08-29,193277.47,7.46,24,109933.04,Pending
LOAN00072,CUST06959,BR044,Education Loan,2023-03-29,708760.88,12.62,24,609387.13,Active
LOAN00073,CUST06621,BR020,Education Loan,2025-03-24,943127.96,7.75,48,277506.65,Pending
LOAN00074,CUST01582,BR054,Business Loan,2022-07-30,1906845.35,8.46,240,833140.83,Defaulted
LOAN00075,CUST03139,BR016,Auto Loan,2021-02-09,1677250.71,7.56,84,748922.67,Defaulted
LOAN00076,CUST07538,BR019,Personal Loan,2020-05-28,706853.07,13.84,120,507192.96,Closed
LOAN00077,CUST01702,BR016,Home Loan,2025-05-27,3280001.46,11.58,84,1729162.08,Active
LOAN00078,CUST02972,BR030,Business Loan,2020-12-12,2749396.8,8.75,24,1427187.84,Pending
LOAN00079,CUST02312,BR045,Education Loan,2020-09-21,1038176.18,8.55,36,225305.46,Pending
LOAN00080,CUST03810,BR037,Education Loan,2021-04-06,1387646.17,15.07,60,680696.13,Defaulted
LOAN00081,CUST05119,BR036,Home Loan,2024-03-11,5893429.81,7.91,180,1314344.79,Active
LOAN00082,CUST07456,BR045,Home Loan,2022-02-18,1550200.6,10.36,60,1493993.6,Defaulted
LOAN00083,CUST03428,BR016,Business Loan,2025-05-23,2815473.4,13.84,240,2801814.12,Defaulted
LOAN00084,CUST00163,BR056,Education Loan,2021-05-09,1417457.72,15.19,240,560270.86,Closed
LOAN00085,CUST04051,BR012,Education Loan,2023-01-14,212421.72,9.9,120,202596.44,Active
LOAN00086,CUST02401,BR025,Personal Loan,2025-02-05,400000.02,8.46,240,71381.52,Active
LOAN00087,CUST02673,BR039,Education Loan,2020-03-26,899221.38,11.59,12,429629.26,Defaulted
LOAN00088,CUST05893,BR036,Personal Loan,2022-04-17,724687.03,14.65,12,255985.65,Closed
LOAN00089,CUST03494,BR020,Business Loan,2024-07-17,2760918.97,12.81,240,718979.06,Defaulted
LOAN00090,CUST07371,BR039,Auto Loan,2023-08-25,1897481.57,13.95,12,195353.04,Active
LOAN00091,CUST01808,BR045,Auto Loan,2024-03-19,1346041.08,13.48,60,1315301.01,Closed
LOAN00092,CUST07590,BR025,Education Loan,2024-05-24,118757.52,13.48,120,22601.29,Pending
LOAN00093,CUST01250,BR042,Business Loan,2021-10-28,1842485.35,8.12,84,444336.51,Pending
LOAN00094,CUST05200,BR055,Auto Loan,2023-02-09,1003316.66,9.32,60,996656.16,Pending
LOAN00095,CUST06002,BR016,Business Loan,2024-05-16,448793.7,14.49,240,245327.23,Defaulted
LOAN00096,CUST00036,BR024,Education Loan,2020-09-24,395100.59,13.34,48,91760.96,Pending
LOAN00097,CUST06689,BR018,Personal Loan,2021-09-14,637526.0,9.64,120,118165.59,Defaulted
LOAN00098,CUST00302,BR035,Personal Loan,2025-08-22,100012.51,14.9,12,53358.61,Defaulted
LOAN00099,CUST07950,BR030,Auto Loan,2024-02-18,555549.82,13.93,60,204226.36,Defaulted
LOAN00100,CUST04741,BR016,Auto Loan,2022-01-14,1600107.9,11.0,48,807513.07,Pending
LOAN00101,CUST04439,BR018,Personal Loan,2024-09-13,522830.74,7.38,36,464455.39,Closed
LOAN00102,CUST07422,BR053,Home Loan,2025-07-05,1296932.4,13.71,180,625383.19,Pending
LOAN00103,CUST01193,BR042,Business Loan,2021-02-11,3256532.64,7.27,240,2947400.49,Closed
LOAN00104,CUST05868,BR031,Auto Loan,2020-08-07,971887.77,9.01,240,859157.27,Active
LOAN00105,CUST07456,BR028,Auto Loan,2020-12-04,1674993.08,11.81,84,1411362.3,Pending
LOAN00106,CUST06171,BR012,Auto Loan,2025-03-12,236996.48,12.38,60,220141.66,Active
LOAN00107,CUST05475,BR035,Home Loan,2022-02-18,5092790.52,10.47,36,1622741.01,Active
LOAN00108,CUST02690,BR003,Home Loan,2021-05-15,5628164.68,11.47,84,3175449.63,Defaulted
LOAN00109,CUST05591,BR017,Personal Loan,2023-10-14,236047.11,11.77,24,230280.71,Defaulted
LOAN00110,CUST00648,BR030,Education Loan,2023-03-31,1217712.6,14.38,24,1086889.17,Active
LOAN00111,CUST02675,BR051,Auto Loan,2024-07-28,1605106.39,9.55,84,1241757.41,Active
LOAN00112,CUST05883,BR002,Auto Loan,2022-12-19,1152613.36,7.65,180,72953.71,Closed
LOAN00113,CUST02983,BR037,Personal Loan,2023-09-22,456970.74,10.8,24,83583.12,Active
LOAN00114,CUST03042,BR021,Education Loan,2022-09-24,1033135.12,8.41,12,98580.97,Active
LOAN00115,CUST01865,BR014,Auto Loan,2023-12-29,1187245.07,12.64,240,921216.08,Active
LOAN00116,CUST04543,BR060,Business Loan,2022-01-23,4941076.75,8.73,240,3280314.5,Pending
LOAN00117,CUST03188,BR013,Personal Loan,2025-06-22,744275.24,8.76,120,219129.11,Pending
LOAN00118,CUST02683,BR007,Home Loan,2023-02-27,1163745.81,10.31,60,379782.86,Closed
LOAN00119,CUST05527,BR026,Education Loan,2020-11-11,1031278.26,11.7,180,493527.51,Active
LOAN00120,CUST06723,BR045,Auto Loan,2022-08-22,1211600.53,13.93,48,938614.35,Active
LOAN00121,CUST01430,BR042,Education Loan,2020-06-28,797687.92,10.53,240,140977.87,Pending
LOAN00122,CUST07575,BR025,Auto Loan,2024-05-28,1743866.7,11.75,180,1530839.84,Closed
LOAN00123,CUST07977,BR003,Personal Loan,2023-07-04,366179.21,14.92,12,102429.15,Defaulted
LOAN00124,CUST04575,BR028,Home Loan,2021-03-29,4993494.46,8.44,12,3185715.26,Active
LOAN00125,CUST05717,BR022,Personal Loan,2021-08-12,429326.18,13.43,60,27407.39,Active
LOAN00126,CUST06004,BR038,Personal Loan,2023-04-07,201910.66,14.73,48,14501.88,Pending
LOAN00127,CUST03487,BR003,Education Loan,2021-12-18,1039133.1,8.5,36,148676.87,Closed
LOAN00128,CUST01212,BR046,Business Loan,2020-01-10,4053666.05,9.92,48,627796.86,Active
LOAN00129,CUST03069,BR048,Home Loan,2025-07-04,2732503.97,8.83,24,2571287.58,Active
LOAN00130,CUST00239,BR040,Home Loan,2025-11-16,3311737.36,11.27,84,2929957.46,Pending
LOAN00131,CUST02401,BR037,Education Loan,2025-11-25,610022.51,11.04,36,436486.12,Active
LOAN00132,CUST06481,BR054,Education Loan,2021-09-20,1172779.54,7.76,84,189555.61,Pending
LOAN00133,CUST00187,BR004,Education Loan,2020-01-21,1398815.67,12.92,36,303633.65,Closed
LOAN00134,CUST01551,BR044,Home Loan,2021-02-25,1762945.81,11.47,240,1164572.44,Defaulted
LOAN00135,CUST00543,BR045,Business Loan,2024-05-09,3961551.92,15.19,84,1271085.16,Closed
LOAN00136,CUST05651,BR021,Business Loan,2025-05-23,1655707.73,13.16,12,1571165.37,Defaulted
LOAN00137,CUST05586,BR018,Business Loan,2024-02-03,3357396.98,15.4,12,402713.62,Pending
