Account_ID,Customer_ID,Branch_ID,Account_Type,Opening_Date,Current_Balance,Account_Status
ACC00001,CUST06225,BR040,Salary,2023-11-05,18914.8,Dormant
ACC00002,CUST00749,BR027,Savings,2019-05-08,19449.22,Dormant
ACC00003,CUST06761,BR031,Savings,2022-08-30,39455.14,Active
ACC00004,CUST02708,BR031,Salary,2019-05-11,38797.88,Active
ACC00005,CUST05021,BR014,Savings,2024-01-18,17841.13,Active
ACC00006,CUST03972,BR058,Savings,2021-02-01,17841.4,Active
ACC00007,CUST00431,BR043,Salary,2022-09-03,40354.13,Closed
ACC00008,CUST02989,BR001,Current,2020-03-20,78232.05,Closed
ACC00009,CUST04453,BR029,Fixed Deposit,2025-06-29,45175.73,Active
ACC00010,CUST07435,BR004,Current,2021-02-05,62477.39,Closed
ACC00011,CUST04963,BR050,Savings,2021-07-10,14514.8,Active
ACC00012,CUST02911,BR023,Current,2021-04-07,22794.4,Closed
ACC00013,CUST01613,BR017,Current,2021-05-12,46256.73,Active
ACC00014,CUST05284,BR051,Savings,2020-12-09,3936.5,Closed
ACC00015,CUST02477,BR013,Salary,2020-07-31,3994.04,Dormant
ACC00016,CUST04222,BR043,Current,2021-04-10,20696.35,Active
ACC00017,CUST05672,BR002,Savings,2019-10-27,8852.47,Active
ACC00018,CUST01107,BR009,Fixed Deposit,2023-09-27,72297.76,Closed
ACC00019,CUST04749,BR001,Salary,2024-06-03,7075.43,Closed
ACC00020,CUST02160,BR020,Savings,2021-07-30,6179.09,Active
ACC00021,CUST04957,BR041,Salary,2020-02-22,37270.38,Active
ACC00022,CUST06871,BR002,Salary,2023-12-28,11406.7,Closed
ACC00023,CUST05908,BR036,Savings,2025-04-06,23406.65,Dormant
ACC00024,CUST03435,BR053,Savings,2024-12-01,6110.27,Dormant
ACC00025,CUST02782,BR014,Fixed Deposit,2021-03-22,43190.26,Dormant
ACC00026,CUST05226,BR042,Savings,2021-09-19,24338.88,Dormant
ACC00027,CUST05556,BR050,Savings,2022-05-02,7817.39,Active
ACC00028,CUST03733,BR003,Salary,2019-10-29,17378.49,Closed
ACC00029,CUST06225,BR044,Savings,2021-03-21,12828.51,Closed
ACC00030,CUST03267,BR056,Savings,2023-05-24,16940.72,Active
ACC00031,CUST03939,BR046,Fixed Deposit,2019-04-09,41730.02,Dormant
ACC00032,CUST00180,BR021,Savings,2021-09-23,116663.66,Closed
ACC00033,CUST07614,BR024,Savings,2020-04-06,21760.52,Dormant
ACC00034,CUST01936,BR052,Fixed Deposit,2024-05-14,31741.28,Closed
ACC00035,CUST06182,BR058,Salary,2022-12-20,23760.54,Closed
ACC00036,CUST07533,BR029,Current,2021-08-20,10712.39,Dormant
ACC00037,CUST06655,BR056,Savings,2021-09-14,26581.67,Active
ACC00038,CUST02008,BR018,Current,2020-05-29,5117.03,Dormant
ACC00039,CUST06426,BR056,Savings,2023-12-10,6665.05,Active
ACC00040,CUST01529,BR060,Savings,2025-12-02,26296.08,Closed
ACC00041,CUST01070,BR057,Savings,2024-10-20,42813.98,Dormant
ACC00042,CUST00214,BR009,Savings,2022-05-23,25699.62,Closed
ACC00043,CUST00116,BR002,Current,2024-06-26,32349.43,Dormant
ACC00044,CUST00666,BR055,Salary,2019-01-16,10820.82,Active
ACC00045,CUST04658,BR016,Current,2021-12-19,8279.0,Active
ACC00046,CUST04709,BR050,Salary,2023-08-19,8071.62,Dormant
